channel_name,message_id,image_path,detected_class,confidence_score,image_category
lobelia4cosmetics,26674,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26674.jpg,none,0.0,other
lobelia4cosmetics,26675,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26675.jpg,bottle,0.3037,product_display
lobelia4cosmetics,26675,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26675.jpg,traffic light,0.3027,product_display
lobelia4cosmetics,26676,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26676.jpg,bottle,0.5939,product_display
lobelia4cosmetics,26677,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26677.jpg,none,0.0,other
lobelia4cosmetics,26678,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26678.jpg,orange,0.3178,other
lobelia4cosmetics,26678,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26678.jpg,teddy bear,0.2711,other
lobelia4cosmetics,26679,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26679.jpg,bottle,0.9058,product_display
lobelia4cosmetics,26680,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26680.jpg,person,0.8004,lifestyle
lobelia4cosmetics,26681,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26681.jpg,bottle,0.7407,product_display
lobelia4cosmetics,26682,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26682.jpg,none,0.0,other
lobelia4cosmetics,26683,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26683.jpg,cup,0.7179,product_display
lobelia4cosmetics,26683,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26683.jpg,cup,0.3851,product_display
lobelia4cosmetics,26683,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26683.jpg,book,0.294,product_display
lobelia4cosmetics,26684,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26684.jpg,book,0.2522,other
lobelia4cosmetics,26685,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26685.jpg,none,0.0,other
lobelia4cosmetics,26686,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26686.jpg,sports ball,0.368,other
lobelia4cosmetics,26686,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26686.jpg,sports ball,0.2993,other
lobelia4cosmetics,26687,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26687.jpg,book,0.2522,other
lobelia4cosmetics,26688,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26688.jpg,cell phone,0.4422,other
lobelia4cosmetics,26688,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26688.jpg,donut,0.4114,other
lobelia4cosmetics,26689,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26689.jpg,bottle,0.6768,product_display
lobelia4cosmetics,26690,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26690.jpg,bottle,0.3789,product_display
lobelia4cosmetics,26690,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26690.jpg,cake,0.2855,product_display
lobelia4cosmetics,26691,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26691.jpg,none,0.0,other
lobelia4cosmetics,26692,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26692.jpg,none,0.0,other
lobelia4cosmetics,26693,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26693.jpg,none,0.0,other
lobelia4cosmetics,26694,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26694.jpg,cell phone,0.3196,other
lobelia4cosmetics,26695,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26695.jpg,person,0.6776,lifestyle
lobelia4cosmetics,26695,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26695.jpg,stop sign,0.2888,lifestyle
lobelia4cosmetics,26696,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\lobelia4cosmetics\26696.jpg,none,0.0,other
